aic,atc
004190043,N02BA51
004198026,C04AE01
004198040,C04AE01
004198053,C04AE01
004198065,C04AE01
004219022,A02AF02
004901118,R02AA20
004901120,R02AA20
004901132,R02AA20
004901144,R02AA20
004901157,R02AA20
004901169,R02AA20
004901171,R02AA20
004901183,R02AA20
004901195,R02AA20
004901207,R02AA20
004901219,R02AA20
004901221,R02AA20
004901233,R02AA20
004901245,R02AA20
004905067,S01XA
004905079,M01AX
002101057,N02BA01
002129017,N03AB02
002129031,N03AB
002137014,J07AF
002138016,A06AB
002138028,A06AB20
002152015,A02AD
002177018,S01AA30
002192019,A11GA01
002192045,A11GA01
002192058,A11GA01
002201010,J01BA01
002201022,J01BA01
003247057,G03GA01
003263011,A11DA01
003263062,A11DA01
003268012,C01CA08
003268024,C01CA08
003268051,C01CA08
003283025,A11GA01
003283049,A11GA01
003311014,R06AD
003311026,R06AD
003311038,D04AA10
003311040,D04AA10
003311053,D04AA10
003312030,D03BA
003313018,A12AX
003313020,A12AX
004220036,R05CA10
004225013,G02AB01
004225025,G02AB01
004225037,G02AB01
004226027,A11BA
004256018,N03AA
004256020,N03AA
004258012,A03AA
004258024,A03AD01
004259014,S01XA20
004262022,A07FA01
004262034,A07FA01
004273013,A06AB57
004273025,A06AB57
004905081,D03AX
004905093,M01AX
004905105,M01AX
004905117,S01XA
004905129,V03AX
004905131,D03AX
004905143,D03AX
004905156,V03AX
004909014,N02BB
004929028,N02BA01
004930020,S01FA01
004941011,A06AB
004957015,S01XA20
004957027,S01XA20
004961013,S01EB01
004961037,S01EB01
002222014,D02AX
002222026,D02AX
002222038,D02AX
002238018,J07AM01
002238020,J07AM01
002238032,J07AM01
002238044,J07AM01
002238057,J07AM01
002258010,B03AE03
002258022,B03AE03
002258034,B03AE03
002262018,A11EA
002280016,R05CA10
002309019,B03BB
003337033,A07BA51
003350016,S01GA01
003350030,S01GA01
003351020,S01GA51
003366022,A11GA01
003366034,A11GA01
003366046,A11GA01
003366059,A11GA01
003366073,A11GA01
003366085,A11GA01
003366097,A01AD11
003366111,A11GA01
003366147,A11GA01
003366150,A11GA01
003366162,A11GA01
004279016,V03AX
004279028,V03AX
004287013,A01AD11
004287025,A01AD11
004291011,A06AC
004300024,J01XX
004306015,A06AB57
004308019,N07BB01
004336044,N02BE51
004336071,N02BE51
004336083,N02BE51
004336095,N02BE51
004336107,N02BE51
004347011,R01AB02
004961049,S01EB01
004975013,G04BX
004975025,G04BX
004978019,B02BD
004978021,B02BC
004984011,A06AD10
004984023,A06AD10
004984035,A06AD10
005020021,R05FB
005020033,R05FB
005020045,R05FB02
005025010,V03AB14
005026012,C01AA
005030010,G01AC
005030022,G01AC
005032014,M03BX06
009782057,N02BA
009816012,S01GA01
009830011,G03CA01
009830023,G03CA01
009830035,G03CA01
009830047,G03CA01
006105035,N07BC02
006105047,N07BC02
006105050,N07BC02
006105062,N07BC02
006106037,N02BA51
006106049,N02BA51
006123071,A02X
006137018,N05CM11
006139024,A11CB
006141016,N07AA01
006146029,A11GA01
006146031,A11GA01
006152021,R06AB04
007410018,C01CA
007410020,C01CA24
007420019,S01GA
007420021,S01GA51
007420033,S01GA51
007438017,B03AB
007444019,A06AB
007444021,A06AB20
007451014,M01AA
007451026,M01AA
007451040,M01AA
007451053,M01AA
007469024,M02AB01
008632010,A07FA
008634026,J01AA07
008634077,D07CA01
008634089,S01CA09
008634139,S01AA09
008637011,A06AB
008637035,A06AB
008637047,A06AB57
008637050,A06AB20
008646097,J07BB
008646109,J07BB
008646111,J07BB
008646123,J07BB
008646135,J07BB02
009846027,A01AB11
009846041,A01AB11
009848033,B05BA03
009848045,B05BA03
009848072,B05BA03
009848084,B05BA03
009848096,B05BA03
009859012,B05BA10
009860014,B05BB01
009868023,N02BA57
009868074,N02BA57
009896010,S01XA02
009897012,R05CA
006152033,R06AB04
006152045,R06AB04
006152058,R06AB04
006169015,S01AX10
006187013,R05FA
006187025,R05FA
006202042,A11HA03
006203018,N02BA
006203020,N02BA05
006204010,A11EA
006204022,A11EA
007471016,A11GA
007494014,A11JA
007494026,A11JA
007509019,J07AX
007518018,B05BA
007518020,B05BA
007518032,B05BA01
007518044,B05BA01
007535014,B02BA02
007535026,B02BA02
007537018,A11CC01
008670010,J06BA01
008670046,J06BA01
008679019,N02BB02
008679021,N02BB02
008679033,N02BB02
008679045,N02BB02
008679058,N02BB02
008701017,N02CA52
008701029,N02CA52
008701031,N02CA52
008702019,0
008702021,A11GA01
008728038,N02BA51
005137017,D02AX
005137029,D02AX
005166018,A07AA04
005166020,A07AA04
005167010,N02AG01
005170016,R06AA02
005170028,R06AA02
005172010,B01AB01
005172022,B01AB01
005172034,B01AB01
005173012,G01AX
005173024,G01AX
005174014,D11AX
005175017,C04AX
005179015,H02BX
005179027,H02BX
005181019,S03AA30
006228011,D04AB
006228023,D04AB04
006228047,D04AB
006228050,D04AB
006228062,D04AB04
006239026,R05X
006243036,A11GA01
006243048,A11GA01
006254039,A11AA03
006255018,J07AM51
006255044,J07AM51
006255057,J07AM51
006255069,J07AM51
007537020,A11CC01
007537032,A11CC01
007537044,A11CC01
007539012,A11DA01
007539024,A11DA01
007539048,A11DA01
007583038,R05CA
007583040,R05CA
007584067,R06AC06
007584079,D04AA01
007584081,R01AC06
007610013,H03AA05
008728040,N02BA51
008730018,R03DA05
008730032,R03DA
008730069,R03DA
008730071,R03DA04
008730083,R03DA04
008730095,R03DA04
008736035,A11DB
008769022,N05CX
008776015,B02BA01
008776039,B02BA01
008776041,B02BA01
005181045,S03AA30
005187012,N07BC
005187024,N07BC
005190018,C05AX
005190020,C05AX
005190057,C05AX02
005190069,C05AX02
005212016,V03AB
005212028,V03AB09
005225026,A09AA02
005238011,A11CB
005238035,A11CB
005238062,A11CB
005239049,G03DA04
006255071,J07AM51
006255083,J07AM51
006255095,J07AM51
006255107,J07AM51
006275010,B01AB01
006280010,N02BB
006309049,A06AB57
006325029,N05CX
006340032,J04AC01
006387017,A11BA
006387029,A11BA
006387031,A11BA
006387056,A11BA
006387070,A11BA
007610037,H03AA01
007610049,H03AA01
007645017,R05DA
007645029,R05DA04
007645056,R05DA04
007645070,R05DA04
007645082,R05DA04
007657012,A11BA
007657024,A11BA
007659028,A11GA01
007659042,A11GA01
007659055,A11GA01
007660018,G03FA
008776066,B02BA01
008776078,B02BA01
008783045,C01EB07
008783096,C01EB
008783108,C01EB07
008783110,C01EB07
008783122,C01EB
008783134,C01EB07
008783146,C01EB07
008783159,C01EB07
008790014,M02AC
008806022,J06BA01
008806034,J06BA01
005239052,G03DA04
005239076,G03DA04
005259015,A12AA20
005259027,A12AA
005259039,A12AA20
005259041,A12AA20
005268014,A01AD
005268026,A01AD
005268038,A01AB11
005268040,A01AB11
005270020,R05FA02
005277013,N07AA01
005277025,N07AA01
006387094,A11BA
006387106,A11BA
006387132,A11BA
006387144,A11BA
006387157,A11BA
006401018,J07AJ51
006401020,J07AJ51
006401044,J07AJ51
006401057,J07AJ51
006408025,D02AX
006427013,R05CA10
006432013,N03AB52
006432025,N03AB
006432037,N03AB52
006438030,N02BE
006438093,N02BE51
007666011,M02AX10
007666047,M02AX10
007700014,A01AB06
007701030,A12AX
007701055,A12AX
007701079,A12AX
007701081,A12AX
007701093,V03AF03
007718012,A11GA
007718024,A11GA01
007718036,A11GA01
007758016,N04AA04
007771013,R02AA20
007771025,R02AA
008806059,J06BA02
008806061,J06BA02
008806073,J06BA02
008819029,A11HA
008859011,A13A
008859023,A13A
008883035,R05FB02
008883047,R05FB02
008887034,N05CM
008887046,N05CM
005301027,A06AB20
005302017,A06AD
005302029,A06AD
005304047,G03CA03
005314024,A11DA01
005314036,A11DA01
005328036,A12AX
005328048,A12AX
005341019,A06AB20
005363027,M02AC
005375011,G03DA
005375023,G03DA
005375035,G03DA
006438105,N02BE51
006438117,N02BE51
006451013,S01AX
006451025,S01AX
006451049,S01AX
006451052,S01AX
006451064,S01AX
006455024,J04AC01
006455036,J04AC01
006455048,J04AC01
006455051,J04AC01
006460012,J06AA06
006460036,J06AA06
006463018,A06AB20
006483010,A02AD
006483022,A02AD01
006514018,A02AD
007780012,A11GA01
007780024,A11GA
007780048,A11GA01
007780051,A11GA
007780075,A11GA01
007782028,D11AA
007798034,A02AH
007798046,A02AH
007846049,A12AX
007877018,S01GA51
007877020,S01GA51
007893047,J01FA01
007893086,J01FA
007893098,J01FA
008891018,A01AD11
008898049,A11EX
008898052,A11EA
008898064,A11EA
008949012,V03AB
008997013,A06AB02
008997025,A06AB02
008997037,A06AB02
008997052,A06AB02
008997064,A06AB02
008997076,A06AB02
005375050,G03DA
005375062,G03DA03
005408012,S01GA01
005408024,R01AA08
005408036,R01AA08
005415017,A06AB
005415029,A06AB
005415031,A06AB57
005415043,A06AB
005417011,H03AA
005417023,H03AA
005417035,H03AA05
005417047,H03AA05
005417050,H03AA03
005417062,H03AA03
006541027,A11AA03
006541039,A11AA03
006557019,B05AA01
006557021,B05AA01
006557033,B05AA01
006557045,B05AA01
006557058,B05AA01
006557060,B05AA01
006557072,B05AA01
006557084,B05AA01
006557096,B05AA01
006558011,J06BA01
006558023,J06BA01
006558035,J06BA01
007893100,J01FA
007893124,J01FA01
007893136,J01FA01
007893151,J01FA01
007893163,J01FA01
007893175,J01FA01
007893187,J01FA01
007893199,J01FA01
007899014,N05AA01
007899026,N05AA01
007899038,N05AA01
007899040,N05AA01
007934019,S01AB
007944010,N02BB54
007944022,N02BB54
009001013,A11EA
009001037,A11EA
009032018,J06BA01
009034012,A03BB
009034036,A03BB
009042019,R01AB02
009089020,R02AA
009089032,R02AA06
009104023,H03BB52
009115015,V03AX
009115027,D03AX
009115039,D03AX
005418013,J01BA01
005433014,A02AG
005433026,A02AG
005472016,H03BB02
005472028,H03BB02
005477017,A11GA01
